algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
pak,CoMD,1,2,0,2048,64,53.0328,24
pak,CoMD,2,1,0,2048,64,52.0963,24
pak,CoMD,3,0,0,2048,64,51.6919,24
pak,CoMD,4,0,1,2048,64,51.1507,24
pak,CoMD,5,0,2,2048,64,50.3127,24
pak,CoMD,1,2,0,2048,80,44.8226,24
pak,CoMD,2,1,0,2048,80,45.3754,24
pak,CoMD,3,0,0,2048,80,43.2538,24
pak,CoMD,4,0,1,2048,80,43.3305,24
pak,CoMD,5,0,2,2048,80,43.621,24
pak,CoMD,1,2,0,2048,115,42.544,24
pak,CoMD,2,1,0,2048,115,41.1025,24
pak,CoMD,3,0,0,2048,115,40.8737,24
pak,CoMD,4,0,1,2048,115,39.7504,24
pak,CoMD,5,0,2,2048,115,40.8223,24
spr,CoMD,1,2,0,4096,64,53.3861,24
spr,CoMD,2,1,0,4096,64,51.9343,24
spr,CoMD,3,0,0,4096,64,49.9514,24
spr,CoMD,4,0,1,4096,64,51.5202,24
spr,CoMD,5,0,2,4096,64,50.1449,24
spr,CoMD,1,2,0,4096,80,43.5086,24
spr,CoMD,2,1,0,4096,80,42.9284,24
spr,CoMD,3,0,0,4096,80,43.0374,24
spr,CoMD,4,0,1,4096,80,42.9490,24
spr,CoMD,5,0,2,4096,80,42.6373,24
spr,CoMD,1,2,0,4096,115,41.5466,24
spr,CoMD,2,1,0,4096,115,41.8704,24
spr,CoMD,3,0,0,4096,115,40.2710,24
spr,CoMD,4,0,1,4096,115,40.3945,24
spr,CoMD,5,0,2,4096,115,40.1542,24
rand,CoMD,1,2,0,4096,64,53.7733,24
rand,CoMD,2,1,0,4096,64,53.2943,24
rand,CoMD,3,0,0,4096,64,50.9117,24
rand,CoMD,4,0,1,4096,64,50.8083,24
rand,CoMD,5,0,2,4096,64,51.2533,24
rand,CoMD,1,2,0,4096,80,47.0717,24
rand,CoMD,2,1,0,4096,80,44.7369,24
rand,CoMD,3,0,0,4096,80,43.7992,24
rand,CoMD,4,0,1,4096,80,43.5718,24
rand,CoMD,5,0,2,4096,80,43.7844,24
rand,CoMD,1,2,0,4096,115,43.1496,24
rand,CoMD,2,1,0,4096,115,41.9693,24
rand,CoMD,3,0,0,4096,115,41.2716,24
rand,CoMD,4,0,1,4096,115,40.1849,24
rand,CoMD,5,0,2,4096,115,40.5063,24
pak,CoMD,1,2,0,4096,64,54.4034,24
pak,CoMD,2,1,0,4096,64,52.7167,24
pak,CoMD,3,0,0,4096,64,51.5611,24
pak,CoMD,4,0,1,4096,64,52.0969,24
pak,CoMD,5,0,2,4096,64,51.7525,24
pak,CoMD,1,2,0,4096,80,46.5075,24
pak,CoMD,2,1,0,4096,80,45.4208,24
pak,CoMD,3,0,0,4096,80,43.9699,24
pak,CoMD,4,0,1,4096,80,44.1151,24
pak,CoMD,5,0,2,4096,80,44.3072,24
pak,CoMD,1,2,0,4096,115,42.4216,24
